period,path_radius,max_speed_cmd,actual_vx,speed_efficiency,mean_slip_mm,max_slip_mm,peak_torque_Nm
1.0,0.07,0.28,0.2599211403206719,0.9282897868595423,6.959650888332235,14.114121523981153,1.5
0.85,0.02,0.09411764705882353,0.08606020626903231,0.9143896916084683,3.1352662588950255,9.0414958006573,0.5361666565040029
0.85,0.025,0.11764705882352942,0.10874150903300063,0.9243028267805052,2.8369961822159073,9.544121643491621,0.6840096575603276
0.85,0.03,0.1411764705882353,0.13131089144687705,0.9301188144153791,2.6208755379833715,7.428401666453136,0.7927441568229181
0.85,0.04,0.18823529411764706,0.17594465904794485,0.934706001192207,2.8607771229755166,6.743017039373399,1.5
0.85,0.05,0.23529411764705885,0.21885378532912925,0.9301285876487992,3.6098331538793946,5.8655907814624175,1.5
0.85,0.06,0.2823529411764706,0.26083514244781264,0.9237911295026697,4.275113675735295,10.509457431640765,1.5
0.85,0.07,0.3294117647058824,0.309453878357339,0.9394135592990647,9.29147218125948,22.2175351896628,1.5
0.75,0.02,0.10666666666666667,0.09649914686109484,0.9046795018227641,3.16324178563599,9.51723051795371,0.6013033578208073
0.75,0.025,0.13333333333333333,0.12165254991844328,0.9123941243883246,2.788477979197899,8.937913196956327,0.7245571732371836
0.75,0.03,0.16,0.1467337737710047,0.9170860860687793,2.4262798613260026,6.75080437782662,0.8335370018871924
0.75,0.04,0.21333333333333335,0.1960316844565471,0.9188985208900644,2.697262849675505,5.563924118410909,1.5
0.75,0.05,0.26666666666666666,0.24245603042645578,0.9092101140992092,3.80874975555386,7.611121624354164,1.5
0.75,0.06,0.32,0.28554589185943396,0.8923309120607311,4.5685973315801816,9.824675106856086,1.5
0.75,0.07,0.37333333333333335,0.36190511111440404,0.9693886904850108,9.975676956349044,20.690600064661673,1.5
0.6,0.02,0.13333333333333333,0.11705263687202287,0.8778947765401716,2.8411363664589144,7.788605910729828,0.6759726963969275
0.6,0.025,0.16666666666666669,0.14800325828763133,0.8880195497257879,2.843662430712412,6.372719046834235,0.8649033034588953
0.6,0.03,0.2,0.17858868660866295,0.8929434330433147,2.4608378289010004,4.437715876317384,1.5
0.6,0.04,0.26666666666666666,0.2345482313442592,0.879555867540972,2.8759674356194465,5.606745748036765,1.5
0.6,0.05,0.33333333333333337,0.28728403197262076,0.8618520959178622,3.4739427415715376,7.34608221397667,1.5
0.6,0.06,0.4,0.36490315226668374,0.9122578806667093,5.593760119841462,13.940064133253308,1.5
0.6,0.07,0.46666666666666673,0.3732147124549353,0.7997458124034327,10.164687782804757,21.292024675218027,1.5
