label,vx,vy,wz,mean_slip_mm,max_slip_mm,peak_torque_Nm,RR_mean_mm,RM_mean_mm,RF_mean_mm,LR_mean_mm,LM_mean_mm,LF_mean_mm
forward,0.04666666666666666,0.0,0.0,3.8839140309418334,10.010116803441605,0.3576904612674703,1.4215014833996924,8.595481108491931,1.6396186212704456,1.6376103118464815,8.765082452778898,1.2441902078635538
backward,-0.04666666666666666,0.0,0.0,3.886889257824736,9.99432512215108,0.35927923625429337,1.6390588423442003,8.604433003337405,1.4091254285601298,1.261324096099988,8.750153719115827,1.6572404574908648
strafe_left,0.0,0.04666666666666666,0.0,3.191475897133307,10.450657174574557,0.7339337378809709,0.41366473488258143,8.808489073495998,0.4232610117123633,0.21983873233268827,9.209296153459855,0.07430567691635645
strafe_right,0.0,-0.04666666666666666,0.0,3.7084322666309766,11.90809787657185,0.713423105380051,0.18249548611745958,10.324472595558966,0.18402264042038777,0.620459119517932,10.372030938428095,0.5671128197430146
forward_left_45,0.03299831645537222,0.03299831645537222,0.0,3.684168271904752,10.299496325419888,0.6250664151649428,0.7837039192489246,8.773020172578637,1.1701391557093814,1.2195622582585255,9.06386862696538,1.0947154986676657
forward_right_45,0.03299831645537222,-0.03299831645537222,0.0,4.248854395778882,11.853208100977717,0.6086141576023181,1.1618278804562792,10.249038222964764,1.2457409653449831,1.02521181422177,10.293662278291173,1.5176452133943266
backward_left_45,-0.03299831645537221,0.03299831645537222,0.0,3.691735551031609,10.293700807163809,0.626527145505241,1.1677472811025371,8.78484873232972,0.7861874699450996,1.1149386939652668,9.06491619367415,1.2317749351728806
backward_right_45,-0.03299831645537221,-0.03299831645537222,0.0,4.242333524321057,11.861941369245885,0.6100598585009642,1.2422684699333733,10.24780753678188,1.1598000824871417,1.507407888764805,10.288059880604868,1.0086572873542767
spin_left,0.0,0.0,0.21254538654760474,3.4941234516067277,8.491083912527845,0.333286528848177,1.336664187432646,7.36430349537585,1.868137983081557,1.8965074802953028,7.492840186157944,1.0062873772970655
spin_right,0.0,0.0,-0.21254538654760474,3.5089565366047104,8.506447096969849,0.33463164010498225,1.7944247444986483,7.459531569203124,1.268919723263239,1.129532795156869,7.505294024577704,1.8960363629286747
arc_left_tight,0.04,0.0,0.11267605633802817,4.7418388858859215,18.412837651744987,0.44141974086091373,2.485368048155605,16.24471439331884,2.453715353387525,0.7596363918662029,5.022102952541941,1.4854961760454184
arc_left_medium,0.04,0.0,0.07239819004524888,4.607576880320673,16.14305898282447,0.3888829850175508,2.023670397044371,14.311454375203782,1.5732320677431075,1.2683821579360925,6.981016498128825,1.4877057858678637
arc_left_gentle,0.04,0.0,0.05333333333333334,4.5789827362786255,14.98700793070887,0.3591252917399146,1.8651492306863509,13.291490925949638,1.5224064281273342,1.3654494999800144,7.929127481203196,1.5002728517252204
arc_right_tight,0.04,0.0,-0.11267605633802817,4.896760129756944,18.471179763779894,0.4910644081882669,0.4668379198103719,5.063389016375112,1.4590061703496877,2.805863311146504,16.394583534092543,3.1908808267674518
arc_right_medium,0.04,0.0,-0.07239819004524888,4.757176489472979,16.15781279900859,0.4445116156637443,0.9920949095846345,6.953781983323824,1.160539139329803,2.3029744886373615,14.35109104724584,2.782577368716411
arc_right_gentle,0.04,0.0,-0.05333333333333334,4.730568434554819,15.019583054916492,0.42040679226016664,1.1447877258928019,7.876811010573828,1.2135446630473519,2.1532686628127573,13.320670237835758,2.674328307166421
